163;CD-163;Non Stock Items;T-Shirt with Text and AU Logo-T-SHIRTS, CAPS;UnitCost(US$);7
164;CD-164;Non Stock Items;Caps-T-SHIRTS, CAPS;UnitCost(US$);3
165;CD-165;Non Stock Items;Mugs with logo-T-SHIRTS, CAPS;UnitCost(US$);11
166;CD-166;Non Stock Items;Exhibition Bags-T-SHIRTS, CAPS;UnitCost(US$);4
167;CD-167;Non Stock Items;Umbrella                                       -T-SHIRTS, CAPS;UnitCost(US$);11
168;CD-168;Fixed Asset;All in one workstation-LENOVO M93Z-Computers;UnitCost(US$);1170
169;CD-169;Fixed Asset;All in one Desktop –LENOVO M93Z-Computers;UnitCost(US$);880
170;CD-170;Fixed Asset;Desktop HP ENVY Phoenix 810-135qe-Computers;UnitCost(US$);2528
171;CD-171;Fixed Asset;Dell optilex 7010-CPU-Computers;UnitCost(US$);1411
172;CD-172;Fixed Asset;Dell 19’’ Monitor-Computers;UnitCost(US$);181
173;CD-173;Fixed Asset;HP elite desk 800-Computers;UnitCost(US$);1223
174;CD-174;Fixed Asset;Water dispenser-Other assets;UnitCost(US$);245
175;CD-175;Fixed Asset;Small refrigerator-Other assets;UnitCost(US$);190
176;CD-176;Fixed Asset;Coat hanger -Other assets;UnitCost(US$);63
177;CD-177;Fixed Asset;Raxel paper shredder-Other assets;UnitCost(US$);427
178;CD-178;Fixed Asset;MOTOR VEHICLE TOYOTA LANDCRUISER HARD TOP-VEHICLES;UnitCost(US$);35476
179;CD-179;Fixed Asset;Toyota Hilux -VEHICLES;UnitCost(US$);32539
180;CD-180;Fixed Asset;Toyota Land cruiser  -VEHICLES;UnitCost(US$);41028
181;CD-181;Fixed Asset;Toyota Hilace Bus                                                                                 -VEHICLES;UnitCost(US$);38062
182;CD-182;Fixed Asset;Lenovo Yogo ThinkPad 15-Laptops;UnitCost(US$);857
183;CD-183;Fixed Asset;Toshiba Tecra, A50-Laptops;UnitCost(US$);737
184;CD-184;Fixed Asset;Ultra book Core i5-Laptops;UnitCost(US$);943
185;CD-185;Fixed Asset;THINKPAD X1 CARBON ULTRABOOK       -Laptops;UnitCost(US$);2791
186;CD-186;Fixed Asset;UPS 750VA-POWER SUPPLY;UnitCost(US$);192
187;CD-187;Fixed Asset;PRINTER MFP KYOCERA ECOSYS M3560idn        -PRINTERS;UnitCost(US$);1486
188;CD-188;Fixed Asset;PRINTER NETWORK KYOCERA FS4200DN -PRINTERS;UnitCost(US$);578
189;CD-189;Fixed Asset;Printer HP M601n -PRINTERS;UnitCost(US$);1047
190;CD-190;Fixed Asset;MFP HP M4555         -PRINTERS;UnitCost(US$);3791
